name,course_id,disciplineId,type,under_development,syllabus_link,course_link
Gas Dynamics,101106044,101,Video,false,,/courses/101106044/
Gas Dynamics,,101,Web,true,,
Guidance of Missiles,101108054,101,Web,false,syllabus/syllabus.php?subjectId=101108054,
High Speed Aero Dynamics,101105023,101,Web,false,,/courses/101105023
High Speed Aero Dynamics,101105024,101,Video,false,syllabus/syllabus.php?subjectId=101105024,
Hypersonic Aerodynamics,101103003,101,Web,false,,/courses/101103003
Instability and Transition of Fluid Flows,101104015,101,Video,false,,/courses/101104015/
Introduction to Aerodynamics,,101,Video,true,,
Introduction to Aerospace Propulsion,101101001,101,Video,false,,/courses/101101001/
Introduction to Air-breathing Propulsion,101104016,101,Web,false,syllabus/syllabus.php?subjectId=101104016,
Introduction to CFD,101106045,101,Video,false,syllabus/syllabus.php?subjectId=101106045,
Introduction to Helicopter Aerodynamics and Dynamics,101104017,101,Video,false,,/courses/101104017/
Introduction to Propulsion,,101,Video,true,,
Jet Aircraft Propulsion,101101002,101,Video,false,,/courses/101101002/
Jet and Rocket Propulsion,101104019,101,Video,false,syllabus/syllabus.php?subjectId=101104019,
Navigation  Guidance  And Control,101108056,101,Web,false,syllabus/syllabus.php?subjectId=101108056,
Optimal Control  Guidance and Estimation.,101108057,101,Video,false,,/courses/101108057/
Principles of Fluid Dynamics,101103004,101,Web,false,,/courses/101103004
Space Flight Mechanics,101105029,101,Web,false,syllabus/syllabus.php?subjectId=101105029,
Space Flight Mechanics,101105030,101,Video,false,,/courses/101105030/
Space Technology,101106046,101,Web,false,syllabus/syllabus.php?subjectId=101106046,
Turbomachinery Aerodynamics,101101058,101,Video,false,,/courses/101101058/
Advanced Clinical Proteomics,102101040,102,Web,false,syllabus/syllabus.php?subjectId=102101040,
Analytical Technologies in Biotechnology,102107028,102,Video,false,syllabus/syllabus.php?subjectId=102107028,
Bioenergetics and Intermediary metabolism,102101002,102,Video,false,syllabus/syllabus.php?subjectId=102101002,
Biomathematics,102101003,102,Video,false,,/courses/102101003/
Bioprocess Principles,102107029,102,Video,false,syllabus/syllabus.php?subjectId=102107029,
Cell Biology,102103012,102,Web,false,syllabus/syllabus.php?subjectId=102103012,
Cellular and Molecular Immunology,102103038,102,Web,false,,/courses/102103038
Chemical Biology,102106021,102,Video,false,syllabus/syllabus.php?subjectId=102106021,
Downstream Processing,102106022,102,Video,false,syllabus/syllabus.php?subjectId=102106022,
Enzyme Science and Engineering,102102033,102,Video,false,,video.php?subjectId=102102033
General Virology,102103039,102,Web,false,,/courses/102103039
Genetic Engineering & Applications,102103013,102,Web,false,syllabus/syllabus.php?subjectId=102103013,
Genetics,102107030,102,Video,false,syllabus/syllabus.php?subjectId=102107030,
Immunology,102107031,102,Video,false,syllabus/syllabus.php?subjectId=102107031,
Introduction to Computational Neuroscience,102106023,102,Web,false,,/courses/102106023
Metabolic Engineering,102103014,102,Web,false,syllabus/syllabus.php?subjectId=102103014,
Microbiology,102103015,102,Web,false,syllabus/syllabus.php?subjectId=102103015,
Molecular Biophysics,102101006,102,Video,false,syllabus/syllabus.php?subjectId=102101006,
Molecular Cell Biology,102102009,102,Video,false,syllabus/syllabus.php?subjectId=102102009,
Molecular Cell Biology,102106025,102,Web,false,syllabus/syllabus.php?subjectId=102106025,
Plant Biotechnology,102103016,102,Web,false,,/courses/102103016
Protein Folding,102102010,102,Video,false,syllabus/syllabus.php?subjectId=102102010,
Protein Science and Engineering,102102011,102,Video,false,syllabus/syllabus.php?subjectId=102102011,
Proteomics and Genomics,102103017,102,Web,false,,/courses/102103017
